noun Eggius voc_sg {{la-decl-2nd|num=sg|Eggi}}
noun Egilius voc_sg {{la-decl-2nd|num=sg|Egili}}
noun Egnatius voc_sg {{la-decl-2nd|num=sg|Egnāti}}
noun Egnatuleius voc_sg {{la-decl-2nd|num=sg|Egnātulēi}}
noun Egrilius voc_sg {{la-decl-2nd|num=sg|Egrili}}
noun Ennius voc_sg {{la-decl-2nd|num=sg|Enni}}
noun Epanterii voc_sg {{la-decl-2nd|num=pl|Epanteri}}
noun Epeii voc_sg {{la-decl-2nd|num=pl|Epei}}
noun Epidii voc_sg {{la-decl-2nd|num=pl|Epidi}}
noun Epidius voc_sg {{la-decl-2nd|num=sg|Epidi}}
noun Eppius voc_sg {{la-decl-2nd|num=sg|Eppi}}
